# Collapsar-like analytic profile with exponential cutoff
# rho(r) = rho0*(r/r0)^(-alpha)*exp[-(r-r0)/Rcut]
# columns:
# r_cm dens_gcm3 temp_MeV ye pres_dummy entr_dummy
3.03268e+06 3.59358e+10 26.0041 0.138546 9.34478e+11 0.00788013
3.04435e+06 3.55241e+10 25.9243 0.13868 9.2094e+11 0.00788618
3.05606e+06 3.51172e+10 25.8448 0.138813 9.07598e+11 0.00789223
3.06781e+06 3.4715e+10 25.7655 0.138946 8.94448e+11 0.00789829
3.07961e+06 3.43173e+10 25.6864 0.13908 8.8149e+11 0.00790435
3.09146e+06 3.39242e+10 25.6076 0.139213 8.68719e+11 0.00791042
3.10335e+06 3.35356e+10 25.5291 0.139346 8.56133e+11 0.00791649
3.11529e+06 3.31515e+10 25.4507 0.13948 8.43729e+11 0.00792256
3.12727e+06 3.27718e+10 25.3726 0.139613 8.31506e+11 0.00792864
3.1393e+06 3.23964e+10 25.2948 0.139747 8.19459e+11 0.00793473
3.15137e+06 3.20253e+10 25.2172 0.13988 8.07587e+11 0.00794082
3.16349e+06 3.16584e+10 25.1398 0.140013 7.95886e+11 0.00794691
3.17566e+06 3.12958e+10 25.0626 0.140147 7.84355e+11 0.00795301
3.18787e+06 3.09373e+10 24.9857 0.14028 7.72992e+11 0.00795911
3.20014e+06 3.05829e+10 24.9091 0.140413 7.61792e+11 0.00796522
3.21244e+06 3.02326e+10 24.8326 0.140547 7.50756e+11 0.00797133
3.2248e+06 2.98863e+10 24.7564 0.14068 7.39879e+11 0.00797745
3.2372e+06 2.9544e+10 24.6805 0.140814 7.29159e+11 0.00798357
3.24966e+06 2.92055e+10 24.6047 0.140947 7.18595e+11 0.0079897
3.26215e+06 2.8871e+10 24.5292 0.14108 7.08184e+11 0.00799583
3.2747e+06 2.85403e+10 24.454 0.141214 6.97924e+11 0.00800196
3.2873e+06 2.82134e+10 24.3789 0.141347 6.87812e+11 0.0080081
3.29994e+06 2.78902e+10 24.3041 0.14148 6.77847e+11 0.00801425
3.31263e+06 2.75707e+10 24.2295 0.141614 6.68026e+11 0.0080204
3.32537e+06 2.72549e+10 24.1552 0.141747 6.58347e+11 0.00802655
3.33817e+06 2.69427e+10 24.0811 0.141881 6.48809e+11 0.00803271
3.351e+06 2.66341e+10 24.0072 0.142014 6.39409e+11 0.00803888
3.36389e+06 2.6329e+10 23.9335 0.142147 6.30145e+11 0.00804505
3.37683e+06 2.60274e+10 23.8601 0.142281 6.21015e+11 0.00805122
3.38982e+06 2.57292e+10 23.7869 0.142414 6.12017e+11 0.0080574
3.40286e+06 2.54345e+10 23.7139 0.142548 6.0315e+11 0.00806358
3.41595e+06 2.51431e+10 23.6411 0.142681 5.94412e+11 0.00806977
3.42909e+06 2.48551e+10 23.5686 0.142814 5.85799e+11 0.00807596
3.44228e+06 2.45704e+10 23.4962 0.142948 5.77312e+11 0.00808216
3.45552e+06 2.4289e+10 23.4241 0.143081 5.68948e+11 0.00808836
3.46881e+06 2.40107e+10 23.3522 0.143214 5.60704e+11 0.00809457
3.48215e+06 2.37357e+10 23.2806 0.143348 5.52581e+11 0.00810078
3.49554e+06 2.34638e+10 23.2091 0.143481 5.44575e+11 0.00810699
3.50899e+06 2.3195e+10 23.1379 0.143615 5.36684e+11 0.00811321
3.52248e+06 2.29293e+10 23.0669 0.143748 5.28909e+11 0.00811944
3.53603e+06 2.26666e+10 22.9961 0.143881 5.21245e+11 0.00812567
3.54963e+06 2.2407e+10 22.9256 0.144015 5.13693e+11 0.00813191
3.56329e+06 2.21503e+10 22.8552 0.144148 5.0625e+11 0.00813815
3.57699e+06 2.18966e+10 22.7851 0.144281 4.98915e+11 0.00814439
3.59075e+06 2.16458e+10 22.7152 0.144415 4.91687e+11 0.00815064
